,target,state,year,crop,area,ndvi_1,ndvi_17,ndvi_33,ndvi_49,ndvi_65,ndvi_81,ndvi_97,ndvi_113,ndvi_129,ndvi_145,ndvi_161,ndvi_177,prec_1,prec_32,prec_60,prec_91,prec_121,prec_152,prec_182,temp_1,temp_9,temp_17,temp_25,temp_33,temp_41,temp_49,temp_57,temp_65,temp_73,temp_81,temp_89,temp_97,temp_105,temp_113,temp_121,temp_129,temp_137,temp_145,temp_153,temp_161,temp_169,temp_177
10,29.0,North Dakota,2011,soybeans,4000000,-326.034,-344.748,-396.734,-291.636,-302.448,83.228,1738.154,2568.05,3292.208,4309.293,5477.152,6204.825,0.001,0.001,0.001,0.003,0.004,0.004,0.004,12892.112,12608.642,12714.105,13297.839,13211.516,13593.162,13039.002,13093.505,13228.492,13710.112,13424.669,13871.671,14308.461,14005.993,14630.618,14711.635,14798.04,14860.123,14745.651,15058.364,14987.403,15011.772,15087.696
11,34.5,North Dakota,2012,soybeans,4750000,1995.737,1423.226,1705.752,1353.244,2062.194,2482.673,2659.313,2959.463,3692.649,4929.789,5895.61,6350.834,0.001,0.001,0.001,0.002,0.002,0.002,0.002,13637.196,13785.589,13206.409,13681.306,13670.724,13605.653,13824.439,13289.224,14056.974,14432.253,14606.642,14760.444,14472.792,14603.214,14.986,14779.381,15162.744,15064.165,14841.406,15197.21,15022.427,14987.179,15269.19
12,30.5,North Dakota,2013,soybeans,4650000,-118.708,-3.814,13.752,89.008,194.722,433.326,-175.08,2174.118,2951.655,4245.499,4965.447,6232.339,0.001,0.001,0.001,0.002,0.004,0.003,0.002,13284.64,13095.579,12949.201,12938.192,13396.167,13312.106,13304.159,13496.952,13396.938,13328.534,13529.665,13859.052,13761.301,13668.393,14287.707,14986.188,15058.63,14837.463,14756.904,14898.2,15101.296,15130.964,15201.868
13,34.5,North Dakota,2014,soybeans,5900000,-186.676,140.426,165.946,305.308,1373.88,1582.738,2317.188,2586.402,2865.948,4174.182,5080.621,6431.291,0.001,0.0,0.001,0.002,0.002,0.005,0.001,12506.261,13442.142,13230.143,12920.2,12866.86,13014.88,13189.555,12903.86,13820.196,13952.937,13866.363,13876.397,14341.865,14612.162,14398.827,14537.76,14773.593,15119.926,15191.836,15039.926,14946.529,14979.681,14905.712
14,32.5,North Dakota,2015,soybeans,5750000,296.46,1236.152,658.814,544.392,1936.896,2296.596,2406.044,2693.904,3296.395,4558.233,5835.725,6762.671,0.001,0.001,0.001,0.001,0.004,0.003,0.003,12906.554,13077.822,13585.426,13642.921,13430.955,13280.595,12864.795,13236.536,14073.088,14368.2,14229.259,14550.727,14700.906,14892.01,15007.9,15101.72,14710.873,15041.776,15108.864,15099.254,15128.266,14959.886,15169.858
15,41.5,North Dakota,2016,soybeans,6050000,7.996,364.732,792.59,1577.185,2289.295,2219.602,2620.008,2940.239,3794.26,4723.026,5515.321,6370.122,0.0,0.001,0.001,0.003,0.002,0.002,0.004,13302.908,12643.773,13467.627,13679.071,13495.702,13124.845,13783.933580769231,13847.646,14282.092,14254.576,14333.232,14493.248,14509.864,14743.911,14725.473,15171.212,15062.645,15215.522,15083.482,15090.708,15250.764,15178.358,15107.332
16,34.5,North Dakota,2017,soybeans,7100000,-252.912,-334.066,-231.286,433.413,838.92,2219.602,2716.493,3172.767,3721.403,4137.397,4946.831,5543.729,0.001,0.001,0.001,0.001,0.001,0.002,0.001,12480.914,12873.316,13404.368,13357.14,12853.227,13656.138,13713.174,13623.299,13380.506,13770.256,14263.206,14459.742,14664.454,14621.113,14725.493,15107.81,15184.936,14957.048,15164.736,15504.196,15286.08,15116.446,15234.672
17,35.0,North Dakota,2018,soybeans,6900000,101.518,343.62,146.048,19.324,-166.35,166.104,1675.538,2536.828,3467.163,4673.194,5701.673,7150.144,0.0,0.001,0.002,0.001,0.002,0.004,0.002,12870.864,12903.318,13484.427,13069.847,12785.444,13151.306,13160.524,13527.876,13448.346,13640.049,13742.619,13403.758,13723.728,14341.806,14783.39,15163.412,15372.966,15303.442,15461.776,15275.458,15161.694,15102.364,15077.738
18,31.5,North Dakota,2019,soybeans,5600000,292.862,-68.474,-171.65,-230.959,-333.928,893.704,2332.956,2779.803,3233.2,4078.382,5709.585,6427.255,0.001,0.001,0.001,0.002,0.002,0.003,0.003,13298.274,13222.016,12764.944,12605.787,12477.841,12658.087,12800.402,12847.625,13312.114,13641.836,13866.262,14057.096,14402.382,14720.605,14749.333,14707.35,14964.844,14921.665,15184.878,15410.05,15260.308,14954.522,15227.154
19,34.0,North Dakota,2020,soybeans,5750000,125.156,80.71,316.95,562.912,1180.786,1764.832,2386.721,2785.271,3331.004,4201.713,5298.359,6290.14,0.001,0.0,0.0,0.001,0.001,0.002,0.003,13336.506,12830.743,12909.41,13621.021,13332.615,13199.669,13428.667,13698.266,13852.644,13522.693,14126.142,14331.776,14154.774,14373.764,14808.454,14849.884,14710.709,15044.098,15111.174,15317.666,15135.122,15221.822,15320.432
20,25.5,North Dakota,2021,soybeans,7250000,1131.584,995.186,906.234,1797.944,2312.763,2263.383,2352.155,2522.457,2841.936,3621.022,4651.892,5720.487,0.0,0.0,0.0,0.001,0.002,0.001,0.001,13575.769,13543.182,13527.314,13309.718,13110.653,12723.285,13637.133,14045.402,14339.106,14426.12,14383.97,14641.7,14936.542,14715.174,14880.154,14997.334,15223.886,15347.344,15196.956,15594.286,15457.28,15451.687,15490.394
21,115.0,North Dakota,2001,corn,880,-122.538,-214.272,-213.254,-217.498,682.852,1469.132,2083.309,2474.749,3438.685,4530.333,5393.437,6638.616,0.0,0.001,0.0,0.002,0.002,0.004,0.005,13223.386,13408.814,13147.49,13329.556,13349.062,12895.716,13113.468,13349.892,13631.994,13895.59,13827.334,14073.836,14277.705,14260.103,14901.378,14866.43,15095.936,15085.152,15109.064,15105.346,15097.076,14917.295696153846,15076.45
22,114.0,North Dakota,2002,corn,1230000,1403.378,403.376,1442.808,1988.787,1132.954,1351.85,2252.793,2380.534,2666.102,3328.683,4942.655,5886.177,0.001,0.0,0.001,0.002,0.002,0.003,0.003,13283.135,13696.273,13421.347,13083.489,13562.77,13825.358,13922.716,13305.394,13414.616,13958.041,13967.475,13888.245,14659.465,14684.214,14407.513,14711.318,14.849,15010.388,15381.132,15325.242,15191.628,15216.11,15407.474
23,112.0,North Dakota,2003,corn,1450000,460.362,124.444,89.07,223.286,1495.452,2098.952,2302.831,2936.211,3770.542,4662.693,5993.365,6403.613,0.001,0.001,0.001,0.001,0.004,0.003,0.001,13650.322,13173.142,12986.046,12875.364,12848.012,13128.421,13185.033,13105.502,13133.698,14031.002,14179.966,14271.137,14824.378,14826.154,14847.762,14934.076,14824.982,14928.547,15109.402,14879.109,15156.12,15171.294,15125.474
24,105.0,North Dakota,2004,corn,1800000,-126.944,-96.872,-269.606,-283.778,211.704,2081.337,2430.139,2758.624,3302.878,4351.12,5386.387,5997.012,0.001,0.001,0.002,0.001,0.004,0.002,0.003,12837.807,13259.679,13079.16,12596.252,12771.707,13229.472,13556.335,13545.591,13683.596,13755.985,14105.309,14488.677,14559.618,14601.708,14767.506,14996.96,14983.721,14925.083,14886.403,15142.216,14888.243,14927.91,15228.958
25,129.0,North Dakota,2005,corn,1410000,-54.288,532.7,1071.12,1161.004,1436.91,2138.303,2417.808,2772.231,3577.429,5056.85,6172.416,6886.866,0.001,0.0,0.001,0.001,0.003,0.005,0.002,12725.78,12536.091,13172.217,13622.558,13489.469,13656.66,13544.081,13897.645,13950.79,13732.57,14019.198,14490.193,14796.15,14877.602,14905.535,14998.598,14612.413,15047.984,14843.763,14937.297,14956.45,15126.858,14915.577
26,111.0,North Dakota,2006,corn,1690000,337.694,805.974,768.784,639.196,1152.432,1920.824,2353.72,2884.685,3461.9,4610.876,5857.188,5971.122,0.0,0.001,0.001,0.002,0.001,0.002,0.001,13441.647,13590.757,13316.911,13682.46,13277.464,13360.863,13193.878,13529.379,13810.581,13686.944,13958.064,14305.185,14645.831,14870.493,14856.714,14983.14,15021.888,15213.838,15168.138,15369.696,15124.209,15123.785,15295.944
27,116.0,North Dakota,2007,corn,2560000,35.638,286.468,-68.806,-83.438,938.148,2041.088,2455.583,3101.515,3941.274,5039.094,6430.344,6617.326,0.0,0.001,0.002,0.001,0.005,0.004,0.001,13385.272,12905.612,13335.771,13327.11,12631.976,12798.785,13562.207,13265.204,13817.472,13928.748,14408.765,13624.923,14205.784,14729.56,15009.946,14979.802,15097.83,15067.304,14843.747,14973.222,15048.998,15153.722,15083.114
28,124.0,North Dakota,2008,corn,2550000,742.786,306.71,223.65,597.178,1429.556,1945.282,2205.34,2381.106,2796.446,3854.334,5131.838,5939.315,0.0,0.001,0.001,0.001,0.002,0.004,0.002,13407.986,13169.521,12910.361,13244.118,13031.212,13276.032,13299.974,13502.397,13699.678,14032.476,14035.417,14341.857,14563.256,14917.68,14761.339,14913.61,14921.96,15102.348,15090.68,15091.304,15000.371,15235.32,15187.502
29,115.0,North Dakota,2009,corn,1950000,-325.908,-364.754,-295.28,-282.452,-226.332,-57.396,2069.535,2632.359,3157.681,3863.916,5237.673,6015.034,0.001,0.001,0.002,0.001,0.002,0.003,0.003,12712.138,12597.481,13270.126,13149.829,13327.252,13049.497,13004.223,13136.811,13252.552,13724.638,13548.872,13675.475,14023.864,14567.461,14682.781,14715.542,14812.356,15039.35,15153.49,15092.19,15198.508,15246.7,15141.1
30,132.0,North Dakota,2010,corn,2050000,-264.932,-382.208,-288.408,-349.724,-211.47,2027.715,2465.604,3089.453,3707.653,4632.307,6080.697,6587.732,0.001,0.001,0.001,0.002,0.004,0.004,0.002,12367.6,13399.544,13365.691,12771.876,12876.177,12948.414,13000.092,13360.911,13614.682,13737.006,14111.051,14463.303,14538.164,14891.976,14861.025,14466.468,14978.398,15142.678,14951.793,14951.166,15056.664,15044.41,15083.206
31,105.0,North Dakota,2011,corn,2230000,-326.034,-344.748,-396.734,-291.636,-302.448,83.228,1738.154,2568.05,3292.208,4309.293,5477.152,6204.825,0.001,0.001,0.001,0.003,0.004,0.004,0.004,12892.112,12608.642,12714.105,13297.839,13211.516,13593.162,13039.002,13093.505,13228.492,13710.112,13424.669,13871.671,14308.461,14005.993,14630.618,14711.635,14798.04,14860.123,14745.651,15058.364,14987.403,15011.772,15087.696
32,122.0,North Dakota,2012,corn,3640000,1995.737,1423.226,1705.752,1353.244,2062.194,2482.673,2659.313,2959.463,3692.649,4929.789,5895.61,6350.834,0.001,0.001,0.001,0.002,0.002,0.002,0.002,13637.196,13785.589,13206.409,13681.306,13670.724,13605.653,13824.439,13289.224,14056.974,14432.253,14606.642,14760.444,14472.792,14603.214,14.986,14779.381,15162.744,15064.165,14841.406,15197.21,15022.427,14987.179,15269.19
33,110.0,North Dakota,2013,corn,3850000,-118.708,-3.814,13.752,89.008,194.722,433.326,-175.08,2174.118,2951.655,4245.499,4965.447,6232.339,0.001,0.001,0.001,0.002,0.004,0.003,0.002,13284.64,13095.579,12949.201,12938.192,13396.167,13312.106,13304.159,13496.952,13396.938,13328.534,13529.665,13859.052,13761.301,13668.393,14287.707,14986.188,15058.63,14837.463,14756.904,14898.2,15101.296,15130.964,15201.868
34,124.0,North Dakota,2014,corn,2800000,-186.676,140.426,165.946,305.308,1373.88,1582.738,2317.188,2586.402,2865.948,4174.182,5080.621,6431.291,0.001,0.0,0.001,0.002,0.002,0.005,0.001,12506.261,13442.142,13230.143,12920.2,12866.86,13014.88,13189.555,12903.86,13820.196,13952.937,13866.363,13876.397,14341.865,14612.162,14398.827,14537.76,14773.593,15119.926,15191.836,15039.926,14946.529,14979.681,14905.712
35,128.0,North Dakota,2015,corn,2750000,296.46,1236.152,658.814,544.392,1936.896,2296.596,2406.044,2693.904,3296.395,4558.233,5835.725,6762.671,0.001,0.001,0.001,0.001,0.004,0.003,0.003,12906.554,13077.822,13585.426,13642.921,13430.955,13280.595,12864.795,13236.536,14073.088,14368.2,14229.259,14550.727,14700.906,14892.01,15007.9,15101.72,14710.873,15041.776,15108.864,15099.254,15128.266,14959.886,15169.858
36,158.0,North Dakota,2016,corn,3450000,7.996,364.732,792.59,1577.185,2289.295,2219.602,2620.008,2940.239,3794.26,4723.026,5515.321,6370.122,0.0,0.001,0.001,0.003,0.002,0.002,0.004,13302.908,12643.773,13467.627,13679.071,13495.702,13124.845,13783.933580769231,13847.646,14282.092,14254.576,14333.232,14493.248,14509.864,14743.911,14725.473,15171.212,15062.645,15215.522,15083.482,15090.708,15250.764,15178.358,15107.332
37,139.0,North Dakota,2017,corn,3420000,-252.912,-334.066,-231.286,433.413,838.92,2219.602,2716.493,3172.767,3721.403,4137.397,4946.831,5543.729,0.001,0.001,0.001,0.001,0.001,0.002,0.001,12480.914,12873.316,13404.368,13357.14,12853.227,13656.138,13713.174,13623.299,13380.506,13770.256,14263.206,14459.742,14664.454,14621.113,14725.493,15107.81,15184.936,14957.048,15164.736,15504.196,15286.08,15116.446,15234.672
38,153.0,North Dakota,2018,corn,3150000,101.518,343.62,146.048,19.324,-166.35,166.104,1675.538,2536.828,3467.163,4673.194,5701.673,7150.144,0.0,0.001,0.002,0.001,0.002,0.004,0.002,12870.864,12903.318,13484.427,13069.847,12785.444,13151.306,13160.524,13527.876,13448.346,13640.049,13742.619,13403.758,13723.728,14341.806,14783.39,15163.412,15372.966,15303.442,15461.776,15275.458,15161.694,15102.364,15077.738
39,131.0,North Dakota,2019,corn,3500000,292.862,-68.474,-171.65,-230.959,-333.928,893.704,2332.956,2779.803,3233.2,4078.382,5709.585,6427.255,0.001,0.001,0.001,0.002,0.002,0.003,0.003,13298.274,13222.016,12764.944,12605.787,12477.841,12658.087,12800.402,12847.625,13312.114,13641.836,13866.262,14057.096,14402.382,14720.605,14749.333,14707.35,14964.844,14921.665,15184.878,15410.05,15260.308,14954.522,15227.154
40,139.0,North Dakota,2020,corn,1950000,125.156,80.71,316.95,562.912,1180.786,1764.832,2386.721,2785.271,3331.004,4201.713,5298.359,6290.14,0.001,0.0,0.0,0.001,0.001,0.002,0.003,13336.506,12830.743,12909.41,13621.021,13332.615,13199.669,13428.667,13698.266,13852.644,13522.693,14126.142,14331.776,14154.774,14373.764,14808.454,14849.884,14710.709,15044.098,15111.174,15317.666,15135.122,15221.822,15320.432
41,105.0,North Dakota,2021,corn,4100000,1131.584,995.186,906.234,1797.944,2312.763,2263.383,2352.155,2522.457,2841.936,3621.022,4651.892,5720.487,0.0,0.0,0.0,0.001,0.002,0.001,0.001,13575.769,13543.182,13527.314,13309.718,13110.653,12723.285,13637.133,14045.402,14339.106,14426.12,14383.97,14641.7,14936.542,14715.174,14880.154,14997.334,15223.886,15347.344,15196.956,15594.286,15457.28,15451.687,15490.394
42,109.0,South Dakota,2001,corn,3800000,921.43,304.43,26.784,-157.412,728.427,1252.482,2428.663,3186.683,4336.16,5070.301,5553.022,5661.286,0.001,0.001,0.001,0.004,0.002,0.003,0.003,13525.68,13749.453,13317.682,13456.644,13487.392,13060.626,13354.827,13421.148,13765.624,13972.938,13938.307,14133.983,14516.025,14557.626,15034.024,14900.55,15162.676,15097.366,15138.542,15098.584,15228.786,14917.295696153846,15161.578977011493
43,95.0,South Dakota,2002,corn,4450000,1825.034,1513.665,2049.378,2099.846,695.162,2015.258,2599.693,2986.8,3642.356,3933.774,4157.428,4164.066,0.0,0.0,0.001,0.002,0.002,0.001,0.001,13730.057,13740.006,13628.988,13757.343,13900.273,13984.416,14133.939,13718.515,13588.48,13670.206,14085.555,14340.905,14919.743,14939.23,14818.086,14927.713,14957.862,14994.534,15477.19,15411.512,15503.67,15554.403,15733.11
44,111.0,South Dakota,2003,corn,4400000,2295.484,667.668,499.57,1477.506,2245.974,2417.287,2667.798,3743.148,4688.182,5386.176,5406.522,5360.553,0.001,0.001,0.001,0.002,0.003,0.004,0.001,14026.805,13627.555,13406.398,13552.118,13161.562,13559.388,13733.362,13633.452,13792.886,14427.192,14432.942,14671.395,15021.642,14828.395,14956.525,14851.297,14869.517,15001.998,15183.528,14916.128,15356.448,15361.136,15379.546
45,130.0,South Dakota,2004,corn,4650000,1425.864,1668.126,335.116,1484.683,2205.154,2528.91,3017.814,3401.657,3824.732,4556.155,5072.29,5128.918,0.001,0.001,0.002,0.001,0.003,0.002,0.002,13453.06,13689.441,13480.078,13186.794,13075.989,13456.648,13931.792,14006.647,14115.178,14292.374,14660.282,14775.726,14853.136,14909.698,15006.55,15170.208,15290.125,15003.17,15024.228,15308.522,15182.259,15104.002,15362.65
46,119.0,South Dakota,2005,corn,4450000,1214.31,2212.309,2439.701,2285.826,2333.288,2526.187,2836.749,3699.12,4499.968,5657.315,5915.822,5807.92,0.001,0.0,0.001,0.002,0.003,0.004,0.001,13283.082,12840.18,13717.818,13969.829,14131.71,13930.758,13994.598,14264.392,14400.735,14075.51,14328.634,14718.594,14926.802,15037.978,14817.613,15025.678,14753.09,15197.202,14939.688,15073.218,15007.962,15258.134,15182.388
47,97.0,South Dakota,2006,corn,4500000,1169.9,1732.068,1951.423,2007.764,1947.479,2429.354,2858.956,3810.76,4347.226,4417.506,4647.703,4544.024,0.0,0.0,0.002,0.003,0.001,0.002,0.001,13650.211,13772.85,13710.597,13940.446,13789.756,13942.108,13786.488,14075.411,14278.373,13833.797,13944.156,14718.042,14948.19,14995.375,14883.487,14944.904,15035.549,15315.058,15407.782,15580.114,15439.591,15390.22,15594.026
48,121.0,South Dakota,2007,corn,4950000,1062.768,1250.262,587.472,1040.868,2153.208,2549.03,2929.586,4138.112,4894.487,5505.528,5751.84,5212.43,0.0,0.001,0.002,0.002,0.004,0.003,0.001,13556.14,13264.317,13656.085,13598.783,13141.559,13022.183,13764.734,13582.386,14207.581,14388.477,14736.554,13975.58,14383.742,14823.08,14999.64,15033.064,15160.16,15148.024,14916.622,15025.718,15215.102,15319.608,15356.678
49,133.0,South Dakota,2008,corn,4750000,1499.072,881.672,925.892,1825.866,2151.811,2224.674,2474.785,3136.184,3974.24,5225.894,5615.904,5790.164,0.0,0.001,0.001,0.002,0.004,0.005,0.002,13519.65,13573.164,13042.019,13.42,13544.301,13414.749,13651.209,13956.966,14034.644,14279.765,14261.127,14418.234,14502.983,14886.484,14871.11,14880.703,14788.404,15084.488,15035.349,15025.972,15001.688,15225.496,15175.026
50,151.0,South Dakota,2009,corn,5000000,526.396,959.614,1257.43,1167.192,1775.256,1316.241,2602.581,3312.382,4209.533,4913.451,5970.926,5786.264,0.001,0.001,0.002,0.002,0.002,0.004,0.003,13228.584,13002.584,13682.451,13542.805,13754.04,13648.149,13633.502,13750.947,13719.104,14281.424,14125.969,13725.713,14355.142,14837.668,15020.282,14836.511,14844.648,15255.16,15266.228,14989.801,15032.461,15252.542,15276.342
51,135.0,South Dakota,2010,corn,4550000,-134.374,-68.372,-46.738,-1.7,1105.36,2274.811,3185.148,4079.824,4557.291,5329.788,5759.822,5963.88,0.001,0.001,0.001,0.003,0.003,0.005,0.003,12633.562,13447.962,13530.227,13119.668,13056.141,13129.21,13233.736,13668.174,13779.736,14025.202,14497.524,14561.285,14705.82,14851.353,14648.039,14515.86,14901.748,15024.554,15095.806,15011.522,15018.426,15133.44,15272.368
52,132.0,South Dakota,2011,corn,5200000,-47.204,-72.626,485.246,120.288,914.952,2171.248,2767.671,3364.485,4107.994,5092.686,5853.42,6237.006,0.001,0.001,0.001,0.003,0.004,0.005,0.003,13140.802,12809.041,13024.81,13561.853,13194.719,13786.352,13459.249,13227.789,13518.891,14065.044,13772.597,14407.87,14696.397,14405.483,14695.384,14810.088,14863.938,14769.516,14775.6,15238.862,15017.815,15029.709,15115.47
53,101.0,South Dakota,2012,corn,6150000,2426.349,1733.762,2193.683,1814.788,2221.148,2847.41,3073.758,3739.698,4235.14,4703.228,4974.164,5109.369,0.001,0.002,0.0,0.003,0.002,0.002,0.001,13845.558,14012.783,13419.609,13819.146,13871.472,13852.673,13914.813,13557.397,14325.412,14785.882,14842.262,15061.316,14754.754,14643.872,15094.534,14890.38,15234.658,15170.807,14848.452,15335.098,15285.068,15349.624,15494.286
54,137.0,South Dakota,2013,corn,6200000,379.202,883.618,964.286,970.24,1343.118,1860.992,567.592,2414.936,3286.352,4783.499,5442.595,5593.51,0.001,0.001,0.001,0.003,0.004,0.003,0.002,13408.21,13471.291,13542.711,13552.037,13818.373,13667.577,13537.907,13794.83,13887.015,14092.847,14333.7,14645.012,14525.688,13770.189,14772.31,15080.189,15279.476,15082.609,14959.817,15040.097,15128.096,15233.1,15347.282
55,148.0,South Dakota,2014,corn,5800000,661.764,1562.3,1023.768,1187.148,2231.044,2181.106,2661.95,3260.274,3869.226,5135.417,5623.912,6421.693,0.001,0.0,0.001,0.002,0.003,0.005,0.001,12889.254,13575.834,13549.022,13396.408,13144.246,13609.243,13610.647,13244.334,14142.286,14251.743,14118.207,14384.745,14679.62,14872.844,14725.336,14719.964,14754.187,15090.772,15380.614,14997.934,15007.212,15126.648,15054.874
56,159.0,South Dakota,2015,corn,5400000,348.615,2176.382,1960.65,1873.294,2303.554,2510.675,2632.912,3082.492,3821.224,4606.459,5662.188,6372.87,0.0,0.001,0.0,0.001,0.005,0.003,0.002,13267.53,13360.534,13766.205,13955.553,13905.534,13906.723,13780.545,13607.603,14443.394,14611.718,14549.616,14808.612,14969.72,14935.839,15119.456,15250.97,14729.943,14920.263,15025.004,15266.18,15220.772,15095.774,15224.626
57,161.0,South Dakota,2016,corn,5600000,82.565,416.627,1234.908,1802.956,2655.046,2823.821,3211.395,4010.631,4637.224,5136.978,5170.287,5239.864,0.0,0.001,0.001,0.004,0.002,0.002,0.002,13399.01,13256.247,13482.215,13684.709,13526.65,13764.268,13783.933580769231,14059.662,14555.92,14435.049,14432.188,14616.226,14705.62,14879.607,14875.768,15049.322,14910.899,15129.114,15067.666,15196.796,15503.456,15437.28,15439.862
58,145.0,South Dakota,2017,corn,5700000,215.302,174.358,948.018,2195.958,2391.964,2823.821,3533.44,4010.262,4432.721,4515.423,4756.518,4744.49,0.001,0.0,0.001,0.002,0.002,0.002,0.001,13009.405,13151.085,13543.296,13505.069,13232.332,13924.662,14259.681,14136.907,14164.158,14342.129,14679.205,14718.862,14741.47,14833.636,14736.859,15193.922,15258.27,15005.264,15230.792,15645.336,15361.152,15305.842,15417.906
59,160.0,South Dakota,2018,corn,5300000,871.474,1668.358,552.368,15.842,720.774,1796.434,2054.206,3284.435,4733.537,5402.649,5655.986,6560.102,0.0,0.001,0.002,0.002,0.002,0.004,0.003,13314.061,13113.208,13624.569,13584.338,13279.749,13334.971,13208.844,13597.694,13700.877,13974.496,14223.473,13883.603,14211.624,14376.747,14873.236,15230.478,15220.606,15204.462,15440.13,15376.734,15306.667,15070.284,15184.536
