,target,state,year,crop,area,ndvi_1,ndvi_17,ndvi_33,ndvi_49,ndvi_65,ndvi_81,ndvi_97,prec_1,prec_32,prec_60,prec_91,temp_1,temp_9,temp_17,temp_25,temp_33,temp_41,temp_49,temp_57,temp_65,temp_73,temp_81,temp_89,temp_97
17,35.0,North Dakota,2018,soybeans,6900000,101.518,343.62,146.048,19.324,-166.35,166.104,1675.538,0.0,0.001,0.002,0.001,12870.864,12903.318,13484.427,13069.847,12785.444,13151.306,13160.524,13527.876,13448.346,13640.049,13742.619,13403.758,13723.728
18,31.5,North Dakota,2019,soybeans,5600000,292.862,-68.474,-171.65,-230.959,-333.928,893.704,2332.956,0.001,0.001,0.001,0.002,13298.274,13222.016,12764.944,12605.787,12477.841,12658.087,12800.402,12847.625,13312.114,13641.836,13866.262,14057.096,14402.382
19,34.0,North Dakota,2020,soybeans,5750000,125.156,80.71,316.95,562.912,1180.786,1764.832,2386.721,0.001,0.0,0.0,0.001,13336.506,12830.743,12909.41,13621.021,13332.615,13199.669,13428.667,13698.266,13852.644,13522.693,14126.142,14331.776,14154.774
20,25.5,North Dakota,2021,soybeans,7250000,1131.584,995.186,906.234,1797.944,2312.763,2263.383,2352.155,0.0,0.0,0.0,0.001,13575.769,13543.182,13527.314,13309.718,13110.653,12723.285,13637.133,14045.402,14339.106,14426.12,14383.97,14641.7,14936.542
21,115.0,North Dakota,2001,corn,880,-122.538,-214.272,-213.254,-217.498,682.852,1469.132,2083.309,0.0,0.001,0.0,0.002,13223.386,13408.814,13147.49,13329.556,13349.062,12895.716,13113.468,13349.892,13631.994,13895.59,13827.334,14073.836,14277.705
22,114.0,North Dakota,2002,corn,1230000,1403.378,403.376,1442.808,1988.787,1132.954,1351.85,2252.793,0.001,0.0,0.001,0.002,13283.135,13696.273,13421.347,13083.489,13562.77,13825.358,13922.716,13305.394,13414.616,13958.041,13967.475,13888.245,14659.465
23,112.0,North Dakota,2003,corn,1450000,460.362,124.444,89.07,223.286,1495.452,2098.952,2302.831,0.001,0.001,0.001,0.001,13650.322,13173.142,12986.046,12875.364,12848.012,13128.421,13185.033,13105.502,13133.698,14031.002,14179.966,14271.137,14824.378
24,105.0,North Dakota,2004,corn,1800000,-126.944,-96.872,-269.606,-283.778,211.704,2081.337,2430.139,0.001,0.001,0.002,0.001,12837.807,13259.679,13079.16,12596.252,12771.707,13229.472,13556.335,13545.591,13683.596,13755.985,14105.309,14488.677,14559.618
25,129.0,North Dakota,2005,corn,1410000,-54.288,532.7,1071.12,1161.004,1436.91,2138.303,2417.808,0.001,0.0,0.001,0.001,12725.78,12536.091,13172.217,13622.558,13489.469,13656.66,13544.081,13897.645,13950.79,13732.57,14019.198,14490.193,14796.15
26,111.0,North Dakota,2006,corn,1690000,337.694,805.974,768.784,639.196,1152.432,1920.824,2353.72,0.0,0.001,0.001,0.002,13441.647,13590.757,13316.911,13682.46,13277.464,13360.863,13193.878,13529.379,13810.581,13686.944,13958.064,14305.185,14645.831
27,116.0,North Dakota,2007,corn,2560000,35.638,286.468,-68.806,-83.438,938.148,2041.088,2455.583,0.0,0.001,0.002,0.001,13385.272,12905.612,13335.771,13327.11,12631.976,12798.785,13562.207,13265.204,13817.472,13928.748,14408.765,13624.923,14205.784
28,124.0,North Dakota,2008,corn,2550000,742.786,306.71,223.65,597.178,1429.556,1945.282,2205.34,0.0,0.001,0.001,0.001,13407.986,13169.521,12910.361,13244.118,13031.212,13276.032,13299.974,13502.397,13699.678,14032.476,14035.417,14341.857,14563.256
29,115.0,North Dakota,2009,corn,1950000,-325.908,-364.754,-295.28,-282.452,-226.332,-57.396,2069.535,0.001,0.001,0.002,0.001,12712.138,12597.481,13270.126,13149.829,13327.252,13049.497,13004.223,13136.811,13252.552,13724.638,13548.872,13675.475,14023.864
30,132.0,North Dakota,2010,corn,2050000,-264.932,-382.208,-288.408,-349.724,-211.47,2027.715,2465.604,0.001,0.001,0.001,0.002,12367.6,13399.544,13365.691,12771.876,12876.177,12948.414,13000.092,13360.911,13614.682,13737.006,14111.051,14463.303,14538.164
31,105.0,North Dakota,2011,corn,2230000,-326.034,-344.748,-396.734,-291.636,-302.448,83.228,1738.154,0.001,0.001,0.001,0.003,12892.112,12608.642,12714.105,13297.839,13211.516,13593.162,13039.002,13093.505,13228.492,13710.112,13424.669,13871.671,14308.461
32,122.0,North Dakota,2012,corn,3640000,1995.737,1423.226,1705.752,1353.244,2062.194,2482.673,2659.313,0.001,0.001,0.001,0.002,13637.196,13785.589,13206.409,13681.306,13670.724,13605.653,13824.439,13289.224,14056.974,14432.253,14606.642,14760.444,14472.792
33,110.0,North Dakota,2013,corn,3850000,-118.708,-3.814,13.752,89.008,194.722,433.326,-175.08,0.001,0.001,0.001,0.002,13284.64,13095.579,12949.201,12938.192,13396.167,13312.106,13304.159,13496.952,13396.938,13328.534,13529.665,13859.052,13761.301
34,124.0,North Dakota,2014,corn,2800000,-186.676,140.426,165.946,305.308,1373.88,1582.738,2317.188,0.001,0.0,0.001,0.002,12506.261,13442.142,13230.143,12920.2,12866.86,13014.88,13189.555,12903.86,13820.196,13952.937,13866.363,13876.397,14341.865
35,128.0,North Dakota,2015,corn,2750000,296.46,1236.152,658.814,544.392,1936.896,2296.596,2406.044,0.001,0.001,0.001,0.001,12906.554,13077.822,13585.426,13642.921,13430.955,13280.595,12864.795,13236.536,14073.088,14368.2,14229.259,14550.727,14700.906
36,158.0,North Dakota,2016,corn,3450000,7.996,364.732,792.59,1577.185,2289.295,2219.602,2620.008,0.0,0.001,0.001,0.003,13302.908,12643.773,13467.627,13679.071,13495.702,13124.845,13783.933580769231,13847.646,14282.092,14254.576,14333.232,14493.248,14509.864
37,139.0,North Dakota,2017,corn,3420000,-252.912,-334.066,-231.286,433.413,838.92,2219.602,2716.493,0.001,0.001,0.001,0.001,12480.914,12873.316,13404.368,13357.14,12853.227,13656.138,13713.174,13623.299,13380.506,13770.256,14263.206,14459.742,14664.454
38,153.0,North Dakota,2018,corn,3150000,101.518,343.62,146.048,19.324,-166.35,166.104,1675.538,0.0,0.001,0.002,0.001,12870.864,12903.318,13484.427,13069.847,12785.444,13151.306,13160.524,13527.876,13448.346,13640.049,13742.619,13403.758,13723.728
39,131.0,North Dakota,2019,corn,3500000,292.862,-68.474,-171.65,-230.959,-333.928,893.704,2332.956,0.001,0.001,0.001,0.002,13298.274,13222.016,12764.944,12605.787,12477.841,12658.087,12800.402,12847.625,13312.114,13641.836,13866.262,14057.096,14402.382
40,139.0,North Dakota,2020,corn,1950000,125.156,80.71,316.95,562.912,1180.786,1764.832,2386.721,0.001,0.0,0.0,0.001,13336.506,12830.743,12909.41,13621.021,13332.615,13199.669,13428.667,13698.266,13852.644,13522.693,14126.142,14331.776,14154.774
41,105.0,North Dakota,2021,corn,4100000,1131.584,995.186,906.234,1797.944,2312.763,2263.383,2352.155,0.0,0.0,0.0,0.001,13575.769,13543.182,13527.314,13309.718,13110.653,12723.285,13637.133,14045.402,14339.106,14426.12,14383.97,14641.7,14936.542
42,109.0,South Dakota,2001,corn,3800000,921.43,304.43,26.784,-157.412,728.427,1252.482,2428.663,0.001,0.001,0.001,0.004,13525.68,13749.453,13317.682,13456.644,13487.392,13060.626,13354.827,13421.148,13765.624,13972.938,13938.307,14133.983,14516.025
43,95.0,South Dakota,2002,corn,4450000,1825.034,1513.665,2049.378,2099.846,695.162,2015.258,2599.693,0.0,0.0,0.001,0.002,13730.057,13740.006,13628.988,13757.343,13900.273,13984.416,14133.939,13718.515,13588.48,13670.206,14085.555,14340.905,14919.743
44,111.0,South Dakota,2003,corn,4400000,2295.484,667.668,499.57,1477.506,2245.974,2417.287,2667.798,0.001,0.001,0.001,0.002,14026.805,13627.555,13406.398,13552.118,13161.562,13559.388,13733.362,13633.452,13792.886,14427.192,14432.942,14671.395,15021.642
45,130.0,South Dakota,2004,corn,4650000,1425.864,1668.126,335.116,1484.683,2205.154,2528.91,3017.814,0.001,0.001,0.002,0.001,13453.06,13689.441,13480.078,13186.794,13075.989,13456.648,13931.792,14006.647,14115.178,14292.374,14660.282,14775.726,14853.136
46,119.0,South Dakota,2005,corn,4450000,1214.31,2212.309,2439.701,2285.826,2333.288,2526.187,2836.749,0.001,0.0,0.001,0.002,13283.082,12840.18,13717.818,13969.829,14131.71,13930.758,13994.598,14264.392,14400.735,14075.51,14328.634,14718.594,14926.802
47,97.0,South Dakota,2006,corn,4500000,1169.9,1732.068,1951.423,2007.764,1947.479,2429.354,2858.956,0.0,0.0,0.002,0.003,13650.211,13772.85,13710.597,13940.446,13789.756,13942.108,13786.488,14075.411,14278.373,13833.797,13944.156,14718.042,14948.19
48,121.0,South Dakota,2007,corn,4950000,1062.768,1250.262,587.472,1040.868,2153.208,2549.03,2929.586,0.0,0.001,0.002,0.002,13556.14,13264.317,13656.085,13598.783,13141.559,13022.183,13764.734,13582.386,14207.581,14388.477,14736.554,13975.58,14383.742
49,133.0,South Dakota,2008,corn,4750000,1499.072,881.672,925.892,1825.866,2151.811,2224.674,2474.785,0.0,0.001,0.001,0.002,13519.65,13573.164,13042.019,13.42,13544.301,13414.749,13651.209,13956.966,14034.644,14279.765,14261.127,14418.234,14502.983
50,151.0,South Dakota,2009,corn,5000000,526.396,959.614,1257.43,1167.192,1775.256,1316.241,2602.581,0.001,0.001,0.002,0.002,13228.584,13002.584,13682.451,13542.805,13754.04,13648.149,13633.502,13750.947,13719.104,14281.424,14125.969,13725.713,14355.142
51,135.0,South Dakota,2010,corn,4550000,-134.374,-68.372,-46.738,-1.7,1105.36,2274.811,3185.148,0.001,0.001,0.001,0.003,12633.562,13447.962,13530.227,13119.668,13056.141,13129.21,13233.736,13668.174,13779.736,14025.202,14497.524,14561.285,14705.82
52,132.0,South Dakota,2011,corn,5200000,-47.204,-72.626,485.246,120.288,914.952,2171.248,2767.671,0.001,0.001,0.001,0.003,13140.802,12809.041,13024.81,13561.853,13194.719,13786.352,13459.249,13227.789,13518.891,14065.044,13772.597,14407.87,14696.397
53,101.0,South Dakota,2012,corn,6150000,2426.349,1733.762,2193.683,1814.788,2221.148,2847.41,3073.758,0.001,0.002,0.0,0.003,13845.558,14012.783,13419.609,13819.146,13871.472,13852.673,13914.813,13557.397,14325.412,14785.882,14842.262,15061.316,14754.754
54,137.0,South Dakota,2013,corn,6200000,379.202,883.618,964.286,970.24,1343.118,1860.992,567.592,0.001,0.001,0.001,0.003,13408.21,13471.291,13542.711,13552.037,13818.373,13667.577,13537.907,13794.83,13887.015,14092.847,14333.7,14645.012,14525.688
55,148.0,South Dakota,2014,corn,5800000,661.764,1562.3,1023.768,1187.148,2231.044,2181.106,2661.95,0.001,0.0,0.001,0.002,12889.254,13575.834,13549.022,13396.408,13144.246,13609.243,13610.647,13244.334,14142.286,14251.743,14118.207,14384.745,14679.62
56,159.0,South Dakota,2015,corn,5400000,348.615,2176.382,1960.65,1873.294,2303.554,2510.675,2632.912,0.0,0.001,0.0,0.001,13267.53,13360.534,13766.205,13955.553,13905.534,13906.723,13780.545,13607.603,14443.394,14611.718,14549.616,14808.612,14969.72
57,161.0,South Dakota,2016,corn,5600000,82.565,416.627,1234.908,1802.956,2655.046,2823.821,3211.395,0.0,0.001,0.001,0.004,13399.01,13256.247,13482.215,13684.709,13526.65,13764.268,13783.933580769231,14059.662,14555.92,14435.049,14432.188,14616.226,14705.62
58,145.0,South Dakota,2017,corn,5700000,215.302,174.358,948.018,2195.958,2391.964,2823.821,3533.44,0.001,0.0,0.001,0.002,13009.405,13151.085,13543.296,13505.069,13232.332,13924.662,14259.681,14136.907,14164.158,14342.129,14679.205,14718.862,14741.47
59,160.0,South Dakota,2018,corn,5300000,871.474,1668.358,552.368,15.842,720.774,1796.434,2054.206,0.0,0.001,0.002,0.002,13314.061,13113.208,13624.569,13584.338,13279.749,13334.971,13208.844,13597.694,13700.877,13974.496,14223.473,13883.603,14211.624
60,144.0,South Dakota,2019,corn,4350000,759.613,424.628,381.434,-38.841,18.968,1560.665,2665.91,0.001,0.001,0.002,0.003,13473.354,13590.252,12994.726,13227.021,13323.739,12985.68,12910.5,12943.794,13485.386,13755.734,13983.789,14282.989,14594.109
61,162.0,South Dakota,2020,corn,4900000,287.97,449.962,730.369,1044.944,2017.6,2459.275,2788.016,0.001,0.001,0.001,0.001,13550.848,13132.428,13023.124,13680.89,13567.823,13568.408,13720.886,13867.661,14153.559,13864.745,14381.351,14520.01,14656.358
62,134.0,South Dakota,2021,corn,6150000,1457.918,1846.465,1429.336,2184.502,2216.78,2434.804,2693.263,0.0,0.0,0.001,0.002,13659.144,13756.452,13637.921,13630.295,13598.683,12810.038,13840.605,14248.888,14503.08,14266.149,14584.084,14893.39,14889.472
63,32.0,South Dakota,2001,soybeans,4500000,921.43,304.43,26.784,-157.412,728.427,1252.482,2428.663,0.001,0.001,0.001,0.004,13525.68,13749.453,13317.682,13456.644,13487.392,13060.626,13354.827,13421.148,13765.624,13972.938,13938.307,14133.983,14516.025
64,31.0,South Dakota,2002,soybeans,4250000,1825.034,1513.665,2049.378,2099.846,695.162,2015.258,2599.693,0.0,0.0,0.001,0.002,13730.057,13740.006,13628.988,13757.343,13900.273,13984.416,14133.939,13718.515,13588.48,13670.206,14085.555,14340.905,14919.743
65,27.5,South Dakota,2003,soybeans,4250000,2295.484,667.668,499.57,1477.506,2245.974,2417.287,2667.798,0.001,0.001,0.001,0.002,14026.805,13627.555,13406.398,13552.118,13161.562,13559.388,13733.362,13633.452,13792.886,14427.192,14432.942,14671.395,15021.642
66,34.0,South Dakota,2004,soybeans,4150000,1425.864,1668.126,335.116,1484.683,2205.154,2528.91,3017.814,0.001,0.001,0.002,0.001,13453.06,13689.441,13480.078,13186.794,13075.989,13456.648,13931.792,14006.647,14115.178,14292.374,14660.282,14775.726,14853.136
67,35.0,South Dakota,2005,soybeans,3900000,1214.31,2212.309,2439.701,2285.826,2333.288,2526.187,2836.749,0.001,0.0,0.001,0.002,13283.082,12840.18,13717.818,13969.829,14131.71,13930.758,13994.598,14264.392,14400.735,14075.51,14328.634,14718.594,14926.802
68,34.0,South Dakota,2006,soybeans,3950000,1169.9,1732.068,1951.423,2007.764,1947.479,2429.354,2858.956,0.0,0.0,0.002,0.003,13650.211,13772.85,13710.597,13940.446,13789.756,13942.108,13786.488,14075.411,14278.373,13833.797,13944.156,14718.042,14948.19
69,42.0,South Dakota,2007,soybeans,3250000,1062.768,1250.262,587.472,1040.868,2153.208,2549.03,2929.586,0.0,0.001,0.002,0.002,13556.14,13264.317,13656.085,13598.783,13141.559,13022.183,13764.734,13582.386,14207.581,14388.477,14736.554,13975.58,14383.742
70,34.0,South Dakota,2008,soybeans,4100000,1499.072,881.672,925.892,1825.866,2151.811,2224.674,2474.785,0.0,0.001,0.001,0.002,13519.65,13573.164,13042.019,13.42,13544.301,13414.749,13651.209,13956.966,14034.644,14279.765,14261.127,14418.234,14502.983
71,42.0,South Dakota,2009,soybeans,4250000,526.396,959.614,1257.43,1167.192,1775.256,1316.241,2602.581,0.001,0.001,0.002,0.002,13228.584,13002.584,13682.451,13542.805,13754.04,13648.149,13633.502,13750.947,13719.104,14281.424,14125.969,13725.713,14355.142
72,38.0,South Dakota,2010,soybeans,4200000,-134.374,-68.372,-46.738,-1.7,1105.36,2274.811,3185.148,0.001,0.001,0.001,0.003,12633.562,13447.962,13530.227,13119.668,13056.141,13129.21,13233.736,13668.174,13779.736,14025.202,14497.524,14561.285,14705.82
73,37.0,South Dakota,2011,soybeans,4100000,-47.204,-72.626,485.246,120.288,914.952,2171.248,2767.671,0.001,0.001,0.001,0.003,13140.802,12809.041,13024.81,13561.853,13194.719,13786.352,13459.249,13227.789,13518.891,14065.044,13772.597,14407.87,14696.397
74,30.5,South Dakota,2012,soybeans,4750000,2426.349,1733.762,2193.683,1814.788,2221.148,2847.41,3073.758,0.001,0.002,0.0,0.003,13845.558,14012.783,13419.609,13819.146,13871.472,13852.673,13914.813,13557.397,14325.412,14785.882,14842.262,15061.316,14754.754
75,40.5,South Dakota,2013,soybeans,4600000,379.202,883.618,964.286,970.24,1343.118,1860.992,567.592,0.001,0.001,0.001,0.003,13408.21,13471.291,13542.711,13552.037,13818.373,13667.577,13537.907,13794.83,13887.015,14092.847,14333.7,14645.012,14525.688
76,45.0,South Dakota,2014,soybeans,5150000,661.764,1562.3,1023.768,1187.148,2231.044,2181.106,2661.95,0.001,0.0,0.001,0.002,12889.254,13575.834,13549.022,13396.408,13144.246,13609.243,13610.647,13244.334,14142.286,14251.743,14118.207,14384.745,14679.62
77,46.0,South Dakota,2015,soybeans,5150000,348.615,2176.382,1960.65,1873.294,2303.554,2510.675,2632.912,0.0,0.001,0.0,0.001,13267.53,13360.534,13766.205,13955.553,13905.534,13906.723,13780.545,13607.603,14443.394,14611.718,14549.616,14808.612,14969.72
78,49.5,South Dakota,2016,soybeans,5200000,82.565,416.627,1234.908,1802.956,2655.046,2823.821,3211.395,0.0,0.001,0.001,0.004,13399.01,13256.247,13482.215,13684.709,13526.65,13764.268,13783.933580769231,14059.662,14555.92,14435.049,14432.188,14616.226,14705.62
79,43.0,South Dakota,2017,soybeans,5650000,215.302,174.358,948.018,2195.958,2391.964,2823.821,3533.44,0.001,0.0,0.001,0.002,13009.405,13151.085,13543.296,13505.069,13232.332,13924.662,14259.681,14136.907,14164.158,14342.129,14679.205,14718.862,14741.47
80,45.0,South Dakota,2018,soybeans,5650000,871.474,1668.358,552.368,15.842,720.774,1796.434,2054.206,0.0,0.001,0.002,0.002,13314.061,13113.208,13624.569,13584.338,13279.749,13334.971,13208.844,13597.694,13700.877,13974.496,14223.473,13883.603,14211.624
81,42.5,South Dakota,2019,soybeans,3500000,759.613,424.628,381.434,-38.841,18.968,1560.665,2665.91,0.001,0.001,0.002,0.003,13473.354,13590.252,12994.726,13227.021,13323.739,12985.68,12910.5,12943.794,13485.386,13755.734,13983.789,14282.989,14594.109
82,46.0,South Dakota,2020,soybeans,4950000,287.97,449.962,730.369,1044.944,2017.6,2459.275,2788.016,0.001,0.001,0.001,0.001,13550.848,13132.428,13023.124,13680.89,13567.823,13568.408,13720.886,13867.661,14153.559,13864.745,14381.351,14520.01,14656.358
83,40.0,South Dakota,2021,soybeans,5450000,1457.918,1846.465,1429.336,2184.502,2216.78,2434.804,2693.263,0.0,0.0,0.001,0.002,13659.144,13756.452,13637.921,13630.295,13598.683,12810.038,13840.605,14248.888,14503.08,14266.149,14584.084,14893.39,14889.472
84,147.0,Nebraska,2001,corn,8100000,2017.63,1094.324,307.114,533.532,2171.28,2361.283,2836.222,0.001,0.001,0.001,0.004,13847.816,13958.786,13648.743,13505.557,13614.201,13420.369,13721.152,13792.132,14090.616,14356.036,14382.702,14555.367,14712.348
85,128.0,Nebraska,2002,corn,8400000,2419.196,2348.084,2180.566,2300.469,1731.738,2283.29,2807.64,0.0,0.0,0.001,0.002,13854.111,13966.453,13912.732,14222.825,13898.206,14093.52,14.261,13737.473,13960.221,14220.869,14551.376,14777.96,15014.372
86,146.0,Nebraska,2003,corn,8100000,2444.264,1363.726,1740.618,2170.614,2382.088,2561.766,2936.606,0.001,0.001,0.001,0.003,14201.876,13898.491,13790.535,13907.63,13455.336,13877.38,14096.11,13823.181,14160.861,14738.37,14629.607,14965.394,15052.628
87,166.0,Nebraska,2004,corn,8250000,2421.352,2392.618,404.768,1632.104,2303.868,2586.918,3081.968,0.001,0.001,0.002,0.002,14018.12,13900.86,13844.092,13650.484,13332.636,13467.703,13999.094,14045.858,14334.654,14559.18,14722.908,14884.928,14861.324
88,154.0,Nebraska,2005,corn,8500000,414.128,2042.844,2558.518,2478.986,2521.706,2824.008,3110.678,0.001,0.001,0.002,0.003,13.327,13189.434,13895.768,14092.188,14188.812,14078.418,14233.43,14483.998,14509.836,14435.141,14489.734,14687.136,14968.506
89,152.0,Nebraska,2006,corn,8100000,2513.424,2468.624,2398.108,2344.168,2342.282,2527.974,2905.884,0.0,0.0,0.002,0.002,13990.998,14073.478,14033.874,14200.312,14014.604,14172.873,14098.274,14433.47,14498.657,14346.156,13876.213,14831.024,15178.926
90,160.0,Nebraska,2007,corn,9400000,926.73,174.708,422.958,1779.252,2364.078,2988.488,3047.712,0.001,0.001,0.002,0.004,13599.935,13551.473,13490.771,13572.98,13628.22,13213.609,13923.643,13870.068,14506.406,14588.308,14832.834,14528.305,14502.789
91,163.0,Nebraska,2008,corn,8800000,373.092,790.314,1153.622,2251.656,2428.51,2451.806,2638.938,0.0,0.001,0.001,0.003,13423.784,13598.747,13240.173,13626.087,13617.358,13763.477,13918.99,14090.28,14286.591,14443.486,14543.002,14545.535,14448.072
92,179.0,Nebraska,2009,corn,9150000,2118.148,2188.63,2232.026,2220.124,2277.99,2347.77,2723.398,0.0,0.001,0.001,0.003,13804.823,13600.647,14105.39,13860.514,14086.556,13979.519,14043.866,14352.317,14293.436,14678.594,14530.984,14445.909,14739.964
93,166.0,Nebraska,2010,corn,9150000,681.77,1209.518,1089.082,1007.538,2120.37,2346.588,2944.636,0.0,0.001,0.002,0.003,12917.141,13654.75,13810.18,13624.148,13624.743,13575.426,13534.336,13929.877,14090.823,14373.847,14621.24,14734.259,14778.445
94,160.0,Nebraska,2011,corn,9850000,806.374,623.466,2100.176,2197.596,2259.334,2458.21,2852.226,0.001,0.001,0.001,0.003,13492.592,13160.99,13352.882,13761.76,13479.484,14106.766,14074.17,14088.144,14.113,14502.768,14347.403,14718.414,14909.694
95,142.0,Nebraska,2012,corn,10000000,2481.058,2306.008,1095.794,2268.178,2349.464,2907.339,3414.174,0.0,0.002,0.001,0.003,13981.476,14076.722,13712.575,14139.486,13856.217,13728.427,13928.62,14024.376,14557.848,15031.194,14974.618,15242.998,14895.458
96,169.0,Nebraska,2013,corn,9950000,982.75,1992.066,2065.9,1931.868,2077.846,2215.638,2007.35,0.0,0.001,0.001,0.003,13505.306,13658.289,13982.261,14069.785,14086.394,13983.594,13683.414,13863.564,14087.337,14394.36,14593.797,14834.774,14691.727
97,179.0,Nebraska,2014,corn,9300000,2304.998,2424.9,1889.432,2079.716,2332.248,2347.936,2644.454,0.0,0.001,0.001,0.002,13586.781,13881.918,14016.86,13837.562,13431.718,13898.048,14081.45,13694.304,14398.263,14474.756,14437.949,14664.956,14963.56
98,185.0,Nebraska,2015,corn,9400000,829.654,2345.3,1852.094,2175.02,2283.784,2537.385,2778.902,0.0,0.001,0.0,0.003,13312.051,13596.495,13909.088,14206.928,14000.679,14111.032,13903.854,13857.53,14699.27,14960.128,14817.578,15032.716,14958.164
99,178.0,Nebraska,2016,corn,9850000,998.683,1536.234,724.054,2408.531,2710.878,2867.236,3122.262,0.001,0.001,0.001,0.005,13569.824,13650.006,13586.696,13849.56,13508.151,13960.726,13783.933580769231,14356.264,14782.464,14577.524,14477.234,14833.19,14860.452
