,target,state,year,crop,area,ndvi_1,ndvi_17,ndvi_33,ndvi_49,ndvi_65,ndvi_81,ndvi_97,ndvi_113,ndvi_129,ndvi_145,ndvi_161,ndvi_177,ndvi_193,ndvi_209,ndvi_225,ndvi_241,prec_1,prec_32,prec_60,prec_91,prec_121,prec_152,prec_182,prec_213,prec_244,temp_1,temp_9,temp_17,temp_25,temp_33,temp_41,temp_49,temp_57,temp_65,temp_73,temp_81,temp_89,temp_97,temp_105,temp_113,temp_121,temp_129,temp_137,temp_145,temp_153,temp_161,temp_169,temp_177,temp_185,temp_193,temp_201,temp_209,temp_217,temp_225,temp_233,temp_241
10,29.0,North Dakota,2011,soybeans,4000000,-326.034,-344.748,-396.734,-291.636,-302.448,83.228,1738.154,2568.05,3292.208,4309.293,5477.152,6204.825,6651.381,6599.635,5976.944,5528.078,0.001,0.001,0.001,0.003,0.004,0.004,0.004,0.003,0.001,12892.112,12608.642,12714.105,13297.839,13211.516,13593.162,13039.002,13093.505,13228.492,13710.112,13424.669,13871.671,14308.461,14005.993,14630.618,14711.635,14798.04,14860.123,14745.651,15058.364,14987.403,15011.772,15087.696,15173.422,15107.892,15105.152,15105.058,14986.1,14983.624,15135.224,14927.272
11,34.5,North Dakota,2012,soybeans,4750000,1995.737,1423.226,1705.752,1353.244,2062.194,2482.673,2659.313,2959.463,3692.649,4929.789,5895.61,6350.834,6197.177,5692.902,5048.978,4136.602,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.0,13637.196,13785.589,13206.409,13681.306,13670.724,13605.653,13824.439,13289.224,14056.974,14432.253,14606.642,14760.444,14472.792,14603.214,14.986,14779.381,15162.744,15064.165,14841.406,15197.21,15022.427,14987.179,15269.19,15227.034,15300.586,15299.978,15315.836,15236.91,15086.034,15294.928,15302.102
12,30.5,North Dakota,2013,soybeans,4650000,-118.708,-3.814,13.752,89.008,194.722,433.326,-175.08,2174.118,2951.655,4245.499,4965.447,6232.339,6807.812,6460.422,5944.683,5205.259,0.001,0.001,0.001,0.002,0.004,0.003,0.002,0.001,0.003,13284.64,13095.579,12949.201,12938.192,13396.167,13312.106,13304.159,13496.952,13396.938,13328.534,13529.665,13859.052,13761.301,13668.393,14287.707,14986.188,15058.63,14837.463,14756.904,14898.2,15101.296,15130.964,15201.868,15174.894,15190.962,14989.804,14999.342,14978.668,15194.32,15234.866,15158.332
13,34.5,North Dakota,2014,soybeans,5900000,-186.676,140.426,165.946,305.308,1373.88,1582.738,2317.188,2586.402,2865.948,4174.182,5080.621,6431.291,6904.251,6661.685,6255.768,5802.032,0.001,0.0,0.001,0.002,0.002,0.005,0.001,0.004,0.001,12506.261,13442.142,13230.143,12920.2,12866.86,13014.88,13189.555,12903.86,13820.196,13952.937,13866.363,13876.397,14341.865,14612.162,14398.827,14537.76,14773.593,15119.926,15191.836,15039.926,14946.529,14979.681,14905.712,15088.818,15004.78,15063.688,15099.586,15048.276,15046.145,14903.362,14856.032
14,32.5,North Dakota,2015,soybeans,5750000,296.46,1236.152,658.814,544.392,1936.896,2296.596,2406.044,2693.904,3296.395,4558.233,5835.725,6762.671,6902.717,6132.804,5411.859,4925.815,0.001,0.001,0.001,0.001,0.004,0.003,0.003,0.001,0.001,12906.554,13077.822,13585.426,13642.921,13430.955,13280.595,12864.795,13236.536,14073.088,14368.2,14229.259,14550.727,14700.906,14892.01,15007.9,15101.72,14710.873,15041.776,15108.864,15099.254,15128.266,14959.886,15169.858,15095.74,15096.346,15176.302,15162.008,15223.34,15257.998,14973.708,15257.706
15,41.5,North Dakota,2016,soybeans,6050000,7.996,364.732,792.59,1577.185,2289.295,2219.602,2620.008,2940.239,3794.26,4723.026,5515.321,6370.122,6654.938,6379.96,5758.665,5314.712,0.0,0.001,0.001,0.003,0.002,0.002,0.004,0.003,0.003,13302.908,12643.773,13467.627,13679.071,13495.702,13124.845,13783.933580769231,13847.646,14282.092,14254.576,14333.232,14493.248,14509.864,14743.911,14725.473,15171.212,15062.645,15215.522,15083.482,15090.708,15250.764,15178.358,15107.332,15156.984,14980.685,15228.064,15134.874,15120.52,15129.604,15066.196,15151.098
16,34.5,North Dakota,2017,soybeans,7100000,-252.912,-334.066,-231.286,433.413,838.92,2219.602,2716.493,3172.767,3721.403,4137.397,4946.831,5543.729,5843.118,5755.807,5760.728,5100.878,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.003,12480.914,12873.316,13404.368,13357.14,12853.227,13656.138,13713.174,13623.299,13380.506,13770.256,14263.206,14459.742,14664.454,14621.113,14725.493,15107.81,15184.936,14957.048,15164.736,15504.196,15286.08,15116.446,15234.672,15500.486,15334.898,15322.938,15325.654,15047.5,15030.71,15138.912,15141.974
17,35.0,North Dakota,2018,soybeans,6900000,101.518,343.62,146.048,19.324,-166.35,166.104,1675.538,2536.828,3467.163,4673.194,5701.673,7150.144,7235.958,6541.541,5500.563,5027.333,0.0,0.001,0.002,0.001,0.002,0.004,0.002,0.002,0.002,12870.864,12903.318,13484.427,13069.847,12785.444,13151.306,13160.524,13527.876,13448.346,13640.049,13742.619,13403.758,13723.728,14341.806,14783.39,15163.412,15372.966,15303.442,15461.776,15275.458,15161.694,15102.364,15077.738,15113.466,15198.002,15047.84,15186.996,15369.158,15223.444,15170.348,15025.946
18,31.5,North Dakota,2019,soybeans,5600000,292.862,-68.474,-171.65,-230.959,-333.928,893.704,2332.956,2779.803,3233.2,4078.382,5709.585,6427.255,7308.006,6925.525,6411.45,5903.595,0.001,0.001,0.001,0.002,0.002,0.003,0.003,0.003,0.005,13298.274,13222.016,12764.944,12605.787,12477.841,12658.087,12800.402,12847.625,13312.114,13641.836,13866.262,14057.096,14402.382,14720.605,14749.333,14707.35,14964.844,14921.665,15184.878,15410.05,15260.308,14954.522,15227.154,15044.406,15128.86,15084.532,15122.242,15057.574,14984.05,14947.716,14884.428
19,34.0,North Dakota,2020,soybeans,5750000,125.156,80.71,316.95,562.912,1180.786,1764.832,2386.721,2785.271,3331.004,4201.713,5298.359,6290.14,6888.401,6637.84,6006.094,5432.152,0.001,0.0,0.0,0.001,0.001,0.002,0.003,0.002,0.001,13336.506,12830.743,12909.41,13621.021,13332.615,13199.669,13428.667,13698.266,13852.644,13522.693,14126.142,14331.776,14154.774,14373.764,14808.454,14849.884,14710.709,15044.098,15111.174,15317.666,15135.122,15221.822,15320.432,15188.466,15142.704,15114.766,15152.802,15183.652,15229.168,15278.976,14963.344
20,25.5,North Dakota,2021,soybeans,7250000,1131.584,995.186,906.234,1797.944,2312.763,2263.383,2352.155,2522.457,2841.936,3621.022,4651.892,5720.487,6123.118,5406.745,5112.382,5218.197,0.0,0.0,0.0,0.001,0.002,0.001,0.001,0.003,0.001,13575.769,13543.182,13527.314,13309.718,13110.653,12723.285,13637.133,14045.402,14339.106,14426.12,14383.97,14641.7,14936.542,14715.174,14880.154,14997.334,15223.886,15347.344,15196.956,15594.286,15457.28,15451.687,15490.394,15423.696,15394.304,15463.876,15391.502,15316.982,15462.494,15055.686,15067.749
21,115.0,North Dakota,2001,corn,880,-122.538,-214.272,-213.254,-217.498,682.852,1469.132,2083.309,2474.749,3438.685,4530.333,5393.437,6638.616,6865.773,5961.936,4948.187,4456.61,0.0,0.001,0.0,0.002,0.002,0.004,0.005,0.001,0.001,13223.386,13408.814,13147.49,13329.556,13349.062,12895.716,13113.468,13349.892,13631.994,13895.59,13827.334,14073.836,14277.705,14260.103,14901.378,14866.43,15095.936,15085.152,15109.064,15105.346,15097.076,14917.295696153846,15076.45,15191.654,15191.268,15069.882,15129.83,15230.712,15140.402,15320.264,15242.55
22,114.0,North Dakota,2002,corn,1230000,1403.378,403.376,1442.808,1988.787,1132.954,1351.85,2252.793,2380.534,2666.102,3328.683,4942.655,5886.177,6136.984,5857.291,5315.657,4706.998,0.001,0.0,0.001,0.002,0.002,0.003,0.003,0.003,0.001,13283.135,13696.273,13421.347,13083.489,13562.77,13825.358,13922.716,13305.394,13414.616,13958.041,13967.475,13888.245,14659.465,14684.214,14407.513,14711.318,14.849,15010.388,15381.132,15325.242,15191.628,15216.11,15407.474,15190.794,15352.774,15160.619,15160.274,15092.849,14991.006,15242.716,15099.611
23,112.0,North Dakota,2003,corn,1450000,460.362,124.444,89.07,223.286,1495.452,2098.952,2302.831,2936.211,3770.542,4662.693,5993.365,6403.613,6388.709,5604.71,4603.97,4027.976,0.001,0.001,0.001,0.001,0.004,0.003,0.001,0.001,0.002,13650.322,13173.142,12986.046,12875.364,12848.012,13128.421,13185.033,13105.502,13133.698,14031.002,14179.966,14271.137,14824.378,14826.154,14847.762,14934.076,14824.982,14928.547,15109.402,14879.109,15156.12,15171.294,15125.474,15124.858,15278.614,15231.736,15.288,15245.69,15462.066,15345.662,15217.978
24,105.0,North Dakota,2004,corn,1800000,-126.944,-96.872,-269.606,-283.778,211.704,2081.337,2430.139,2758.624,3302.878,4351.12,5386.387,5997.012,6221.85,5942.729,5453.938,4872.187,0.001,0.001,0.002,0.001,0.004,0.002,0.003,0.002,0.002,12837.807,13259.679,13079.16,12596.252,12771.707,13229.472,13556.335,13545.591,13683.596,13755.985,14105.309,14488.677,14559.618,14601.708,14767.506,14996.96,14983.721,14925.083,14886.403,15142.216,14888.243,14927.91,15228.958,15098.554,15211.448,15229.396,15178.166,15053.681,15022.33,14911.246,15046.238
25,129.0,North Dakota,2005,corn,1410000,-54.288,532.7,1071.12,1161.004,1436.91,2138.303,2417.808,2772.231,3577.429,5056.85,6172.416,6886.866,6491.339,5822.876,5361.232,4982.132,0.001,0.0,0.001,0.001,0.003,0.005,0.002,0.002,0.001,12725.78,12536.091,13172.217,13622.558,13489.469,13656.66,13544.081,13897.645,13950.79,13732.57,14019.198,14490.193,14796.15,14877.602,14905.535,14998.598,14612.413,15047.984,14843.763,14937.297,14956.45,15126.858,14915.577,15111.224,15187.66,15105.008,15215.908,15276.864,14983.392,15008.71,15116.086
26,111.0,North Dakota,2006,corn,1690000,337.694,805.974,768.784,639.196,1152.432,1920.824,2353.72,2884.685,3461.9,4610.876,5857.188,5971.122,5374.19,4727.312,4633.208,4332.359,0.0,0.001,0.001,0.002,0.001,0.002,0.001,0.002,0.002,13441.647,13590.757,13316.911,13682.46,13277.464,13360.863,13193.878,13529.379,13810.581,13686.944,13958.064,14305.185,14645.831,14870.493,14856.714,14983.14,15021.888,15213.838,15168.138,15369.696,15124.209,15123.785,15295.944,15401.962,15467.736,15453.717,15390.122,15373.928,15215.912,15208.484,15164.758
27,116.0,North Dakota,2007,corn,2560000,35.638,286.468,-68.806,-83.438,938.148,2041.088,2455.583,3101.515,3941.274,5039.094,6430.344,6617.326,6279.649,5484.557,5222.864,4704.01,0.0,0.001,0.002,0.001,0.005,0.004,0.001,0.002,0.001,13385.272,12905.612,13335.771,13327.11,12631.976,12798.785,13562.207,13265.204,13817.472,13928.748,14408.765,13624.923,14205.784,14729.56,15009.946,14979.802,15097.83,15067.304,14843.747,14973.222,15048.998,15153.722,15083.114,15253.104,15141.682,15338.516,15376.61,15174.91,15106.156,15119.464,15221.18
28,124.0,North Dakota,2008,corn,2550000,742.786,306.71,223.65,597.178,1429.556,1945.282,2205.34,2381.106,2796.446,3854.334,5131.838,5939.315,5913.649,5700.168,5296.046,4819.422,0.0,0.001,0.001,0.001,0.002,0.004,0.002,0.002,0.002,13407.986,13169.521,12910.361,13244.118,13031.212,13276.032,13299.974,13502.397,13699.678,14032.476,14035.417,14341.857,14563.256,14917.68,14761.339,14913.61,14921.96,15102.348,15090.68,15091.304,15000.371,15235.32,15187.502,15256.488,15284.122,15262.522,15241.556,15209.706,15271.236,15200.698,15168.564
29,115.0,North Dakota,2009,corn,1950000,-325.908,-364.754,-295.28,-282.452,-226.332,-57.396,2069.535,2632.359,3157.681,3863.916,5237.673,6015.034,6681.294,6415.104,5948.226,5087.606,0.001,0.001,0.002,0.001,0.002,0.003,0.003,0.002,0.002,12712.138,12597.481,13270.126,13149.829,13327.252,13049.497,13004.223,13136.811,13252.552,13724.638,13548.872,13675.475,14023.864,14567.461,14682.781,14715.542,14812.356,15039.35,15153.49,15092.19,15198.508,15246.7,15141.1,15019.206,14951.88,15095.444,14918.973,15217.588,15185.876,15041.236,15067.048
30,132.0,North Dakota,2010,corn,2050000,-264.932,-382.208,-288.408,-349.724,-211.47,2027.715,2465.604,3089.453,3707.653,4632.307,6080.697,6587.732,6643.797,6335.166,5346.96,4948.812,0.001,0.001,0.001,0.002,0.004,0.004,0.002,0.002,0.003,12367.6,13399.544,13365.691,12771.876,12876.177,12948.414,13000.092,13360.911,13614.682,13737.006,14111.051,14463.303,14538.164,14891.976,14861.025,14466.468,14978.398,15142.678,14951.793,14951.166,15056.664,15044.41,15083.206,15130.208,15095.474,15077.894,15100.194,15195.452,15009.135,15208.642,14922.195
31,105.0,North Dakota,2011,corn,2230000,-326.034,-344.748,-396.734,-291.636,-302.448,83.228,1738.154,2568.05,3292.208,4309.293,5477.152,6204.825,6651.381,6599.635,5976.944,5528.078,0.001,0.001,0.001,0.003,0.004,0.004,0.004,0.003,0.001,12892.112,12608.642,12714.105,13297.839,13211.516,13593.162,13039.002,13093.505,13228.492,13710.112,13424.669,13871.671,14308.461,14005.993,14630.618,14711.635,14798.04,14860.123,14745.651,15058.364,14987.403,15011.772,15087.696,15173.422,15107.892,15105.152,15105.058,14986.1,14983.624,15135.224,14927.272
32,122.0,North Dakota,2012,corn,3640000,1995.737,1423.226,1705.752,1353.244,2062.194,2482.673,2659.313,2959.463,3692.649,4929.789,5895.61,6350.834,6197.177,5692.902,5048.978,4136.602,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.0,13637.196,13785.589,13206.409,13681.306,13670.724,13605.653,13824.439,13289.224,14056.974,14432.253,14606.642,14760.444,14472.792,14603.214,14.986,14779.381,15162.744,15064.165,14841.406,15197.21,15022.427,14987.179,15269.19,15227.034,15300.586,15299.978,15315.836,15236.91,15086.034,15294.928,15302.102
33,110.0,North Dakota,2013,corn,3850000,-118.708,-3.814,13.752,89.008,194.722,433.326,-175.08,2174.118,2951.655,4245.499,4965.447,6232.339,6807.812,6460.422,5944.683,5205.259,0.001,0.001,0.001,0.002,0.004,0.003,0.002,0.001,0.003,13284.64,13095.579,12949.201,12938.192,13396.167,13312.106,13304.159,13496.952,13396.938,13328.534,13529.665,13859.052,13761.301,13668.393,14287.707,14986.188,15058.63,14837.463,14756.904,14898.2,15101.296,15130.964,15201.868,15174.894,15190.962,14989.804,14999.342,14978.668,15194.32,15234.866,15158.332
34,124.0,North Dakota,2014,corn,2800000,-186.676,140.426,165.946,305.308,1373.88,1582.738,2317.188,2586.402,2865.948,4174.182,5080.621,6431.291,6904.251,6661.685,6255.768,5802.032,0.001,0.0,0.001,0.002,0.002,0.005,0.001,0.004,0.001,12506.261,13442.142,13230.143,12920.2,12866.86,13014.88,13189.555,12903.86,13820.196,13952.937,13866.363,13876.397,14341.865,14612.162,14398.827,14537.76,14773.593,15119.926,15191.836,15039.926,14946.529,14979.681,14905.712,15088.818,15004.78,15063.688,15099.586,15048.276,15046.145,14903.362,14856.032
35,128.0,North Dakota,2015,corn,2750000,296.46,1236.152,658.814,544.392,1936.896,2296.596,2406.044,2693.904,3296.395,4558.233,5835.725,6762.671,6902.717,6132.804,5411.859,4925.815,0.001,0.001,0.001,0.001,0.004,0.003,0.003,0.001,0.001,12906.554,13077.822,13585.426,13642.921,13430.955,13280.595,12864.795,13236.536,14073.088,14368.2,14229.259,14550.727,14700.906,14892.01,15007.9,15101.72,14710.873,15041.776,15108.864,15099.254,15128.266,14959.886,15169.858,15095.74,15096.346,15176.302,15162.008,15223.34,15257.998,14973.708,15257.706
36,158.0,North Dakota,2016,corn,3450000,7.996,364.732,792.59,1577.185,2289.295,2219.602,2620.008,2940.239,3794.26,4723.026,5515.321,6370.122,6654.938,6379.96,5758.665,5314.712,0.0,0.001,0.001,0.003,0.002,0.002,0.004,0.003,0.003,13302.908,12643.773,13467.627,13679.071,13495.702,13124.845,13783.933580769231,13847.646,14282.092,14254.576,14333.232,14493.248,14509.864,14743.911,14725.473,15171.212,15062.645,15215.522,15083.482,15090.708,15250.764,15178.358,15107.332,15156.984,14980.685,15228.064,15134.874,15120.52,15129.604,15066.196,15151.098
37,139.0,North Dakota,2017,corn,3420000,-252.912,-334.066,-231.286,433.413,838.92,2219.602,2716.493,3172.767,3721.403,4137.397,4946.831,5543.729,5843.118,5755.807,5760.728,5100.878,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.003,12480.914,12873.316,13404.368,13357.14,12853.227,13656.138,13713.174,13623.299,13380.506,13770.256,14263.206,14459.742,14664.454,14621.113,14725.493,15107.81,15184.936,14957.048,15164.736,15504.196,15286.08,15116.446,15234.672,15500.486,15334.898,15322.938,15325.654,15047.5,15030.71,15138.912,15141.974
38,153.0,North Dakota,2018,corn,3150000,101.518,343.62,146.048,19.324,-166.35,166.104,1675.538,2536.828,3467.163,4673.194,5701.673,7150.144,7235.958,6541.541,5500.563,5027.333,0.0,0.001,0.002,0.001,0.002,0.004,0.002,0.002,0.002,12870.864,12903.318,13484.427,13069.847,12785.444,13151.306,13160.524,13527.876,13448.346,13640.049,13742.619,13403.758,13723.728,14341.806,14783.39,15163.412,15372.966,15303.442,15461.776,15275.458,15161.694,15102.364,15077.738,15113.466,15198.002,15047.84,15186.996,15369.158,15223.444,15170.348,15025.946
39,131.0,North Dakota,2019,corn,3500000,292.862,-68.474,-171.65,-230.959,-333.928,893.704,2332.956,2779.803,3233.2,4078.382,5709.585,6427.255,7308.006,6925.525,6411.45,5903.595,0.001,0.001,0.001,0.002,0.002,0.003,0.003,0.003,0.005,13298.274,13222.016,12764.944,12605.787,12477.841,12658.087,12800.402,12847.625,13312.114,13641.836,13866.262,14057.096,14402.382,14720.605,14749.333,14707.35,14964.844,14921.665,15184.878,15410.05,15260.308,14954.522,15227.154,15044.406,15128.86,15084.532,15122.242,15057.574,14984.05,14947.716,14884.428
40,139.0,North Dakota,2020,corn,1950000,125.156,80.71,316.95,562.912,1180.786,1764.832,2386.721,2785.271,3331.004,4201.713,5298.359,6290.14,6888.401,6637.84,6006.094,5432.152,0.001,0.0,0.0,0.001,0.001,0.002,0.003,0.002,0.001,13336.506,12830.743,12909.41,13621.021,13332.615,13199.669,13428.667,13698.266,13852.644,13522.693,14126.142,14331.776,14154.774,14373.764,14808.454,14849.884,14710.709,15044.098,15111.174,15317.666,15135.122,15221.822,15320.432,15188.466,15142.704,15114.766,15152.802,15183.652,15229.168,15278.976,14963.344
41,105.0,North Dakota,2021,corn,4100000,1131.584,995.186,906.234,1797.944,2312.763,2263.383,2352.155,2522.457,2841.936,3621.022,4651.892,5720.487,6123.118,5406.745,5112.382,5218.197,0.0,0.0,0.0,0.001,0.002,0.001,0.001,0.003,0.001,13575.769,13543.182,13527.314,13309.718,13110.653,12723.285,13637.133,14045.402,14339.106,14426.12,14383.97,14641.7,14936.542,14715.174,14880.154,14997.334,15223.886,15347.344,15196.956,15594.286,15457.28,15451.687,15490.394,15423.696,15394.304,15463.876,15391.502,15316.982,15462.494,15055.686,15067.749
42,109.0,South Dakota,2001,corn,3800000,921.43,304.43,26.784,-157.412,728.427,1252.482,2428.663,3186.683,4336.16,5070.301,5553.022,5661.286,5670.391,5690.397,5144.779,4483.292,0.001,0.001,0.001,0.004,0.002,0.003,0.003,0.0,0.002,13525.68,13749.453,13317.682,13456.644,13487.392,13060.626,13354.827,13421.148,13765.624,13972.938,13938.307,14133.983,14516.025,14557.626,15034.024,14900.55,15162.676,15097.366,15138.542,15098.584,15228.786,14917.295696153846,15161.578977011493,15360.562,15410.856,15273.366,15362.772,15492.896,15299.064,15443.106,15424.136
43,95.0,South Dakota,2002,corn,4450000,1825.034,1513.665,2049.378,2099.846,695.162,2015.258,2599.693,2986.8,3642.356,3933.774,4157.428,4164.066,4226.774,4367.76,4563.697,4511.096,0.0,0.0,0.001,0.002,0.002,0.001,0.001,0.002,0.002,13730.057,13740.006,13628.988,13757.343,13900.273,13984.416,14133.939,13718.515,13588.48,13670.206,14085.555,14340.905,14919.743,14939.23,14818.086,14927.713,14957.862,14994.534,15477.19,15411.512,15503.67,15554.403,15733.11,15520.545,15817.346,15620.128,15600.952,15409.83,15282.238,15340.694,15320.026
44,111.0,South Dakota,2003,corn,4400000,2295.484,667.668,499.57,1477.506,2245.974,2417.287,2667.798,3743.148,4688.182,5386.176,5406.522,5360.553,5261.02,4961.032,4512.645,4007.681,0.001,0.001,0.001,0.002,0.003,0.004,0.001,0.001,0.002,14026.805,13627.555,13406.398,13552.118,13161.562,13559.388,13733.362,13633.452,13792.886,14427.192,14432.942,14671.395,15021.642,14828.395,14956.525,14851.297,14869.517,15001.998,15183.528,14916.128,15356.448,15361.136,15379.546,15327.289,15537.548,15539.688,15538.386,15418.26,15615.432,15545.058,15414.142
